"日期","最新","开盘","高","低","百分比变化"
"2017年12月29日","14,317.00","14,323.00","15,105.00","13,847.00","0.01"
"2017年12月28日","14,315.00","15,374.00","15,467.00","13,232.00","-6.89"
"2017年12月27日","15,374.00","15,680.00","16,494.00","14,463.00","-1.95"
"2017年12月26日","15,679.00","13,627.00","16,048.00","13,550.00","15.09"
"2017年12月25日","13,623.00","13,517.00","14,278.00","12,678.00","1.09"
"2017年12月24日","13,476.00","14,036.00","14,047.00","11,601.18","-3.98"
"2017年12月23日","14,035.00","13,173.00","14,986.00","12,755.00","6.57"
"2017年12月22日","13,170.00","15,650.00","15,826.00","10,718.00","-15.94"
"2017年12月21日","15,666.83","16,433.00","17,333.00","14,827.00","-4.62"
"2017年12月20日","16,425.00","17,340.00","17,709.00","15,500.00","-5.30"
"2017年12月19日","17,345.00","18,931.00","18,987.00","16,500.00","-8.39"
"2017年12月18日","18,934.00","18,959.00","19,171.00","18,010.00","-0.20"
"2017年12月17日","18,971.00","19,210.00","19,891.00","18,622.00","-1.13"
"2017年12月16日","19,187.00","17,569.55","19,548.00","17,098.00","9.50"
"2017年12月15日","17,522.00","16,396.00","18,098.00","16,352.00","6.95"
"2017年12月14日","16,383.00","16,122.00","16,999.00","15,870.00","1.25"
"2017年12月13日","16,181.00","17,010.00","17,288.00","15,674.00","-4.63"
"2017年12月12日","16,967.00","16,754.00","17,500.00","16,234.00","1.27"
"2017年12月11日","16,754.00","14,937.00","17,443.00","14,937.00","11.72"
"2017年12月10日","14,997.00","14,660.00","15,728.00","12,748.00","2.30"
"2017年12月9日","14,660.00","15,829.00","16,300.00","13,021.00","-7.62"
"2017年12月8日","15,869.00","16,608.00","17,160.00","13,774.00","-4.41"
"2017年12月7日","16,601.00","13,500.00","16,639.00","13,154.00","22.72"
"2017年12月6日","13,527.00","11,590.00","13,598.00","11,590.00","16.66"
"2017年12月5日","11,595.00","11,611.00","11,949.00","11,414.00","0.00"
"2017年12月4日","11,595.00","11,162.00","11,598.00","10,788.00","3.93"
"2017年12月3日","11,157.00","10,880.00","11,842.00","10,299.00","2.54"
"2017年12月2日","10,881.00","10,852.00","11,187.00","10,627.00","0.11"
"2017年12月1日","10,869.00","9,907.00","10,949.00","9,370.10","9.71"
"2017年11月30日","9,907.00","9,771.90","10,540.00","8,821.00","1.62"
"2017年11月29日","9,749.40","9,891.90","11,427.17","9,001.10","-1.50"
"2017年11月28日","9,898.00","9,727.10","9,977.77","9,608.30","1.74"
"2017年11月27日","9,728.80","9,303.90","9,760.70","9,268.90","4.43"
"2017年11月26日","9,316.00","8,791.00","9,495.00","8,769.20","6.27"
"2017年11月25日","8,766.20","8,191.60","8,770.00","8,132.90","7.01"
"2017年11月24日","8,191.60","7,977.00","8,350.70","7,873.00","2.69"
"2017年11月23日","7,977.10","8,230.00","8,267.60","7,977.10","-3.07"
"2017年11月22日","8,230.10","8,097.30","8,310.00","8,064.30","1.64"
"2017年11月21日","8,097.30","8,245.10","8,380.00","7,790.00","-1.79"
"2017年11月20日","8,245.10","8,052.80","8,310.20","7,943.40","2.37"
"2017年11月19日","8,054.20","7,770.60","8,126.90","7,652.00","3.61"
"2017年11月18日","7,773.30","7,674.10","7,867.00","7,419.50","1.24"
